For All Walks of Life.	Y	Y	Y
Color dream shoes.	N	N	N
Too much is not enough.	Y	N	Y
The Baby shoes that Stay On!	Y	Y	N
Look Again.	Y	N	N
Nothing comes between me and my Calvins.	Y	Y	Y
Built for work	Y	N	Y
Be your own label 	Y	Y	Y
For all the places you'll go.	Y	Y	N
Shoes designed for living.	Y	Y	N
Shoes to live in	N	N	Y
For successful living	N	N	N
The luxury of dirt.	Y	Y	Y
The official uniform of New York	Y	Y	Y
It's hard to be nice if you don't feel comfortable.	Y	Y	Y
Different. Like you.	Y	Y	Y
Shoes designed to move you.	Y	N	Y
Discover your world.	Y	N	Y
The Finest Walking Shoes On Earth.	Y	N	Y
Fashion is nothing without people	Y	Y	Y
Keep it Simple	N	Y	Y
My bottoms are tops.	N	N	N
The European Comfort Shoe.	N	N	N
The jeans that built America	Y	Y	N
A style for every story	Y	N	Y
Levis. Original Jeans. Original People.	Y	Y	N
Quality never goes out of style	Y	Y	Y
Let's get outside.	Y	Y	N
Mustang Jeans never die. They just fade away.	Y	Y	N
Jewelry for your legs.	N	Y	Y
Worn by the world's most precious feet.	Y	Y	N
Healthy shoes. Naturally beautiful.	Y	N	N
Don't Wear It. Use It.	Y	Y	Y
Make it better. 	N	Y	N
Relentless by nature.	Y	Y	Y
They don't quit.	Y	Y	N
There's a bit of the West in all of us.	Y	Y	Y
The finest Footwear for the Active lifestyle…	Y	N	N
The ultimate driving machine.	Y	N	Y
Dress your lips in Armani.	Y	Y	Y
Pretty attracts us. Beauty changes us. Be a force of beauty.	Y	N	Y
The most colourful name in cosmetics.	Y	N	N
Laughter is the best cosmetic. So grin and wear it.	Y	Y	Y
Give us 5 minutes. We'll make you pretty poweful.	Y	N	N
Real women have curves	Y	Y	Y
You are more beautiful than you think	Y	Y	Y
Bringing the best to everyone we touch	Y	N	N
Enjoy the stay. Love the shine.	Y	N	N
High drama for every single lash	Y	N	Y
More defined. More conditioned. More beautiful lashes.	Y	Y	N
Because you're worth it	Y	Y	Y
Believe in Beauty	Y	Y	N
Makeup for all. All ages, all races, all sexes,	N	N	N
The makeup of makeup artists.	N	Y	Y
Maybe she's born with it. Maybe it's Maybelline.	Y	Y	Y
Rethink your lash look	Y	N	N
Kiss your thin lips goodbye!	Y	Y	Y
Take your lashes to Luxurious Lengths.	Y	Y	N
Twist. Glide. Shine.	N	Y	N
All the flavor of being a girl	N	N	Y
We only test on party animals	Y	Y	N
Revitalizing beauty for your changing skin.	Y	N	N
Glamorous everyday. Glamorous every way.	Y	Y	Y
Along the Highway to Anywhere 	Y	N	N
Coca-Cola... Makes Good Things Taste Better	Y	Y	Y
Have a Coke and a Smile 	Y	N	N
Ice Cold Sunshine 	Y	Y	N
It Had to Be Good to Get Where It Is 	Y	Y	N
Official Soft Drink of Summer 	N	N	N
Red, White & You	N	Y	Y
The Coke Side of Life	N	Y	N
The Only Thing Like Coca-Cola is Coca-Cola Itself 	Y	N	N
The Pause that Refreshes	Y	N	N
Thirst Knows No Season	Y	Y	Y
We've Got a Taste for You	Y	Y	Y
When Coca-Cola is a Part of Your Life, You Can't Beat the Feeling 	N	N	N
Where There's Coke There's Hospitality 	Y	Y	N
You Can't Beat the Real Thing 	Y	Y	N
Gatorade. Is it in you?	N	Y	N
Life's a sport. Drink it up.	Y	Y	Y
An ice cold Pepsi. It's better than sex!	Y	Y	Y
Be Young, Have Fun, Drink Pepsi	Y	N	N
Bigger Drink, Better Taste	Y	Y	N
Every Generation Refreshes the World	Y	N	N
For Those Who Think Young	Y	Y	Y
Pepsi's got your taste for life	N	N	Y
Summer Time is Pepsi Time	Y	Y	N
Taste the one that's forever young	Y	N	Y
The Best Drink Created Worldwide	N	N	N
The Sociables Prefer Pepsi	Y	N	N
Where there's Pepsi, there's music	Y	N	N
Why Take Less When Pepsi's Best?	Y	Y	N
Fast food for fast times	Y	Y	N
We do it like you'd do it	N	N	N
America runs on Dunkin'	Y	Y	Y
When you're crazy for chicken.	Y	N	Y
Come hungry. Leave happy.	Y	Y	Y
Melts in your mouth, not in your hand.	Y	Y	Y
I'm lovin' it	Y	Y	Y
Makin' it great again and again	N	N	N
Think outside the bun.	Y	Y	Y
Quality is our recipe.	Y	Y	Y
The ultimate code of seduction for men	Y	N	Y
No bottles to break - just hearts	Y	N	Y
The greatest freedom is to believe in yourself	Y	N	Y
Between love and madness lies obsession	Y	N	Y
I am made of blue sky and golden light, and I will feel this way forever…share the fantasy.	Y	N	N
Do you dare?	Y	N	Y
The power of cool	Y	Y	Y
So delicate. So beautiful.	Y	N	Y
Whoever loves me will follow	Y	N	Y
HUGO is trend, HUGO is different, HUGO is urban.	N	N	N
Let desire lead you	Y	Y	Y
Every woman has two sides	N	Y	Y
Never resist the call of the game	Y	N	Y
The fragrance larger than life	Y	Y	N
I can't seem to forget you, your wind song stays on in my mind	N	N	Y
The Greatest Mother in the World	Y	N	N
The greatest tragedy is indifference	Y	N	Y
We cannot all serve in the trenches, but we can all serve at home	Y	N	N
For people who do not go with the times	Y	N	Y
Ebel. The architects of time	Y	Y	N
Time always has a before and an after.	Y	N	Y
The Watch that Made the Dollar Famous 	N	Y	N
Since 1868. And for as long as there are men.	Y	Y	N
Elegance is an Attitude	Y	Y	Y
Сapture the classic spirit of Longines	N	N	N
Omega. The right time for life	Y	N	N
Omega. The sign of excellence	Y	Y	Y
Significant Moments 	N	N	Y
The link between the past and the future	Y	N	Y
The Watch The World Has Learned To Trust	Y	N	N
Time to celebrate	N	Y	N
Fashion that ticks 	Y	N	Y
Time is what you make of it 	Y	Y	Y
You have a second home, why not a second watch?	Y	N	N
Don't crack under pressure	N	Y	N
Success. It's a mind game	Y	N	Y
Swiss Avant-Garde since 1860	N	N	N
What are you made of?	Y	N	Y
