Abolish the wages system 	N	Y	N
A dollar a day, roast beef, and the Chinese must go. 	N	N	Y
All power to the Soviets (Вся власть 	N	N	Y
All Power to the Imagination! 	Y	Y	Y
Are you thinking what we're thinking? 	Y	Y	Y
A weak economy, underfunded schools and an NHS that costs more and delivers less 	N	N	Y
Britain Deserves Better 	N	Y	Y
Behindertsein ist schön (To be disabled is beautiful) 	Y	N	Y
Better dead than Red 	Y	N	Y
Better war than Pact, better dead than slave (Bolje rat nego pakt, bolje grob nego rob) 	Y	Y	Y
Bigger cages! Longer chains! 	Y	Y	Y
Black is beautiful is a political slogan of a cultural movement that began in the United States of America in the 1960s by African Americans.	Y	Y	Y
Black Power is a political slogan and a name for various associated ideologies.	N	N	Y
Bread and roses 	N	N	N
Catch up and overtake America! (Догнать и перегнать Америку) 	N	N	Y
Come and take it 	Y	Y	N
Deeds Not Words 	Y	Y	Y
Doctors need to be preserved, not reserved. 	Y	N	Y
Don't let him take Britain back to the 1980s 	Y	Y	N
Don’t Stop, Keep Going On! 	Y	Y	N
Each for all and all for each 	Y	Y	Y
Eat the Rich 	N	N	Y
Ein Volk, ein Reich, ein Führer ("One people, one empire, one leader") 	Y	Y	Y
England Will Fight to the Last American 	Y	Y	Y
Every Man a King 	Y	N	Y
Everything Within the State, Nothing Outside the State 	Y	N	N
Fifty-Four Forty or Fight 	N	N	N
Führer befiehl, wir folgen dir! (Führer command, we'll follow you!)	N	Y	N
God made Adam and Eve, not Adam and Steve 	Y	Y	Y
Got Guv 	N	N	N
Go For Growth 	N	Y	Y
Had enough? 	Y	N	Y
Hasta la Victoria Siempre (Until the Eternal Victory) 	Y	N	Y
He killed my ma, he killed my pa, but I will vote for him. 	Y	Y	Y
Heim ins Reich (Back home into the Reich)	N	N	N
He's Good Enough for Me 	Y	Y	Y
Hey, Hey, LBJ, how many kids you kill today? 	Y	N	N
I agree with Nick 	N	N	N
If you want a nigger for a neighbour, vote Liberal or Labour 	Y	Y	Y
In Your Heart You Know He's Right' 	N	Y	Y
It's Scotland's oil 	N	N	N
It's Time 	Y	Y	N
Jai Jawan Jai Kisan 	Y	Y	?
Labour Isn't Working 	N	N	Y
Liberté, Égalité, Fraternité (Liberty, Equality, Fraternity) 	Y	Y	Y
Lips That Touch Liquor Must Never Touch Mine 	Y	Y	Y
Maggie, Maggie, Maggie 	Y	Y	Y
Make love not war 	Y	Y	Y
Moving New Hampshire Forward 	N	N	Y
Never had it so good 	Y	Y	N
Never been had so good 	N	N	N
New Labour, New Danger 	N	Y	Y
Ni dieu, Ni maitre (No God, No Master) 	Y	N	Y
No Surrender! 	Y	N	N
Not a step back! (Ни шагу назад!) 	Y	N	N
Nothing About Us Without Us! 	Y	N	N
Now... The Next Steps 	N	N	N
No War but Class War 	N	N	Y
Patria o Muerte (Homeland or Death) 	N	N	Y
Piss On Pity is a rallying cry for those in the disability-inclusive circles of world politics.	N	Y	Y
Power to the people 	Y	Y	Y
Promises Kept 	Y	Y	Y
Rally Around O'Malley 	Y	Y	Y
Remember Pearl Harbor! 	Y	Y	Y
Remember the Alamo! 	N	N	Y
Remember the Maine! 	N	N	Y
Revolution is not a dinner party 	N	N	Y
Safety First 	Y	Y	Y
Save the Bay 	N	N	Y
Serve the People (为人民服务) 	Y	Y	Y
Simon Go Back 	Y	Y	Y
Stanley Baldwin the Man You Can Trust! 	N	N	N
Stay the course 	Y	N	N
Stop the boats 	N	N	N
The Buck Stops Here 	N	Y	Y
The rich get richer and the poor get poorer 	Y	Y	Y
There Ain't No Such Thing as a Free Lunch	Y	Y	Y
They shall not pass (Spanish: ¡No Pasaran!) 	N	N	Y
Three Word Chant! 	N	Y	Y
Think globally, act locally or "Think global, act local" 	N	Y	Y
Trust Baldwin he will steer you to safety! 	N	N	N
Tyler and Texas! 	Y	N	N
Venceremos (we will overcome, We shall Triumph) 	Y	Y	Y
Vote for Change 	Y	Y	N
We are the 99% 	N	Y	Y
